episode,risk_repair_rate,risk_after,low_qot_after,avg_osnr_after
5,0.14705146705146704,5.633333333333334,4.2,35.964111111111116
10,0.12373015873015872,5.766666666666667,4.333333333333333,35.952600000000004
15,0.1247089947089947,5.766666666666667,4.333333333333333,35.90175555555556
20,0.14505411255411257,5.633333333333334,4.2,35.92146666666666
25,0.15071548821548822,5.633333333333334,4.166666666666667,35.940799999999996
30,0.13686628186628186,5.766666666666667,4.333333333333333,35.913488888888885
35,0.12753968253968254,5.733333333333333,4.3,35.90142222222222
40,0.16596560846560846,5.666666666666667,4.233333333333333,35.910599999999995
45,0.14214405964405966,5.766666666666667,4.333333333333333,35.90564444444444
50,0.12793771043771046,5.7,4.266666666666667,35.92782222222222
55,0.14500120250120252,5.733333333333333,4.266666666666667,35.93922222222222
60,0.10939153439153439,5.833333333333333,4.366666666666666,35.925177777777776
65,0.0917195767195767,5.933333333333334,4.466666666666667,35.88386666666666
70,0.09639009139009139,5.866666666666666,4.4,35.89342222222221
75,0.07974867724867725,5.933333333333334,4.466666666666667,35.89997777777777
80,0.09585978835978835,5.9,4.433333333333334,35.89742222222222
85,0.075,6.1,4.633333333333334,35.885200000000005
90,0.05485449735449735,6.166666666666667,4.7,35.81691111111111
95,0.052804232804232805,6.3,4.866666666666666,35.821311111111115
100,0.07916666666666666,6.1,4.666666666666667,35.876488888888886
