Unnamed: 0,N011_HL3,N012_HL3,N021_HL3,N022_HL3,N031_HL3,N032_HL3,N041_HL2,N041_HL3,N042_HL2,N042_HL3,N043_HL2,N043_HL3,N044_HL2,N044_HL3,N051_HL3,N052_HL3,N061_HL3,N062_HL3,N071_HL2,N071_HL3,N072_HL2,N072_HL3,N091_HL3,N092_HL3,N101_HL3,N102_HL3,N111_HL3,N112_HL3,N121_HL3,N122_HL3,N141_HL3,N142_HL3,N151_HL3,N152_HL3,N161_HL3,N162_HL3,N171_HL3,N172_HL3,N181_HL3,N182_HL3,N191_HL3,N192_HL3,N201_HL1,N201_HL2,N201_HL3,N202_HL3,N203_HL1,N203_HL2,N203_HL3,N204_HL1,N204_HL2,N204_HL3,N205_HL3,N206_HL2,N206_HL3,N207_HL3,N221_HL3,N222_HL3,N231_HL3,N232_HL3,N241_HL3,N242_HL3,N251_HL3,N252_HL3,N261_HL3,N262_HL3,N271_HL3,N272_HL3,N281_HL3,N282_HL3,N291_HL3,N292_HL3,N311_HL3,N312_HL3,N321_HL3,N322_HL3,N331_HL3,N332_HL3,N341_HL3,N342_HL3,N351_HL2,N351_HL3,N352_HL2,N352_HL3,N361_HL3,N362_HL3,N371_HL3,N372_HL3,N381_HL3,N382_HL3,N391_HL2,N391_HL3,N392_HL2,N392_HL3,N401_HL3,N402_HL3,N411_HL3,N412_HL3,N421_HL3,N422_HL3,N441_HL3,N442_HL3,N451_HL3,N452_HL3,N461_HL3,N462_HL3,N471_HL3,N472_HL1,N472_HL2,N472_HL3,N473_HL3,N474_HL1,N474_HL2,N474_HL3,N491_HL3,N492_HL3,N501_HL3,N502_HL3,N511_HL3,N512_HL3
N411_HL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.64000000000001,,127.64000000000001,,,,,,,,,,,,,,,319.1,,,,,,,,,,,,,,,,,,,,,,
N412_HL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.63999999999999,,127.63999999999999,,,,,,,,,,,,,,319.1,,,,,,,,,,,,,,,,,,,,,,,
N421_HL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.20000000000005,,343.20000000000005,,,,,,,,,,,,,,,,,858.0000000000001,,,,,,,,,,,,,,,,,,,,
N422_HL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.20000000000005,,343.20000000000005,,,,,,,,,,,,,,,,858.0000000000001,,,,,,,,,,,,,,,,,,,,,
N441_HL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.4000000000001,,,,,,,276.16,,,,276.16,,,,,,,
N442_HL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.4000000000001,,,,,,,,276.16,,,,276.16,,,,,,,
N451_HL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855.9999999999999,,,,,342.4,,,,342.4,,,,,,,
N452_HL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855.9999999999999,,,,,,342.4,,,,342.4,,,,,,,
N461_HL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.48,,325.48,,,,,,,,,,,,,813.7,,,,,,,,,,,,,,
N462_HL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.48,,325.48,,,,,,,,,,,,813.7,,,,,,,,,,,,,,,
N471_HL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4732.2,,,,4732.2,,,,,,,
N472_HL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3629.216,,3629.216,,,,,,,,4185.8240000000005,,3491.8080000000004,,,,,,,,,,,,,,,,4706.623999999999,,,29988.5,4348.111999999999,,,,,,,
N472_HL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9335.019999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10419.8,,,,,,,,,,11115.56,,,,,,,,,,276.16,276.16,342.4,342.4,,,4732.2,4706.623999999999,,896.28,3835.92,4706.623999999999,11318.419999999998,,190.72000000000003,190.72000000000003,127.92000000000002,127.92000000000002,213.88000000000002,213.88000000000002
N472_HL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896.28,,,,,,,,,,,
N473_HL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3835.92,,,,3835.92,,,,,,,
N474_HL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3629.216,,3629.216,,,,,,,,4185.8240000000005,,3491.8080000000004,,,,,,,,,,,,,,,29988.5,4706.623999999999,,,,4348.111999999999,,,,,,,
N474_HL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7736.199999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9799.899999999998,,,,,,,,276.16,276.16,342.4,342.4,,,4732.2,4348.111999999999,11318.419999999998,,3835.92,4348.111999999999,,,190.72000000000003,190.72000000000003,127.92000000000002,127.92000000000002,213.88000000000002,213.88000000000002
N474_HL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N491_HL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.72000000000003,,,,190.72000000000003,,,476.8,,,,
N492_HL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.72000000000003,,,,190.72000000000003,,476.8,,,,,
N501_HL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.92000000000002,,,,127.92000000000002,,,,,319.8,,
N502_HL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.92000000000002,,,,127.92000000000002,,,,319.8,,,
N511_HL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.88000000000002,,,,213.88000000000002,,,,,,,534.7
N512_HL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.88000000000002,,,,213.88000000000002,,,,,,534.7,
