episode,risk_repair_rate,risk_after,low_qot_after,avg_osnr_after
20,0.13716931216931216,5.533333333333333,4.1,35.97164444444444
40,0.13556998556998556,5.7,4.266666666666667,35.9504
60,0.09777777777777778,5.766666666666667,4.3,35.980177777777776
80,0.06605820105820105,6.066666666666666,4.6,35.92924444444444
100,0.05185185185185185,6.233333333333333,4.8,35.83762222222222
