episode,risk_repair_rate,risk_after,low_qot_after,avg_osnr_after
20,0.04833333333333333,6.266666666666667,4.733333333333333,35.90837777777778
40,0.0637962962962963,6.266666666666667,4.833333333333333,35.78386666666667
60,0.03189153439153439,6.2,4.766666666666667,35.82128888888889
80,0.05517195767195767,6.233333333333333,4.8,35.81004444444444
100,0.05263227513227513,6.266666666666667,4.833333333333333,35.79488888888889
120,0.042222222222222223,6.166666666666667,4.733333333333333,35.824422222222225
140,0.0676058201058201,6.233333333333333,4.8,35.81008888888889
160,0.0925,6.1,4.666666666666667,35.8344
180,0.07392857142857143,6.233333333333333,4.8,35.867355555555555
200,0.06506734006734007,6.3,4.866666666666666,35.85628888888889
220,0.07083333333333333,6.166666666666667,4.733333333333333,35.8194
240,0.041772486772486773,6.3,4.866666666666666,35.82671111111111
260,0.07179894179894179,6.166666666666667,4.733333333333333,35.858422222222224
280,0.06301587301587301,6.3,4.866666666666666,35.87557777777778
300,0.07842592592592593,6.266666666666667,4.833333333333333,35.869844444444446
